GlobalID,purpose,latitude,longitude
d6afa7f4-69bd-40c2-8446-a5af38826214,Regular,-41.324510906708326,174.82093220471057
09e058f3-560a-49a3-a227-983987665b2e,Regular,-41.324495105524456,174.82101057394513
593ea1fb-fc56-4622-810f-f20f8213db9c,Regular,-41.324476332452704,174.8210927232898
e0f83b7b-1ab5-4c3e-868a-b529e9916b02,Regular,-41.32446056781362,174.82116877666743
705ae9ef-a2ae-456a-854f-4380397766f5,Regular,-41.324431454196926,174.82080018837323
39457223-06b2-4348-805c-603554829267,Regular,-41.32441031548938,174.82088458981045
c86f902b-8f78-4ee7-aff9-3eff94806613,Regular,-41.324394440105024,174.82096759284346
566825b5-0b12-42c6-9c82-b916d6356c1e,Regular,-41.32437751143978,174.82104361373945
2d7bb6b9-8caa-40a8-b740-fb484a596c4a,Regular,-41.32436240179941,174.82111504809203
ae22216d-1ec4-4ae6-98f0-44040da20045,Regular,-41.324346539381665,174.82119727830855
1a5ab6d5-755c-4580-9587-2c33970574b1,Regular,-41.32432663782548,174.82127707919201
446e604e-ee72-446b-8fba-8348aa1c60cb,Regular,-41.32430906535378,174.82135694370737
03f4c00b-92a7-4bdc-b6ad-7025ae34a677,Regular,-41.32428953836457,174.82144988976626
89908eaa-5d1a-469d-a3c6-06d69d39b897,Regular,-41.32432703110799,174.82176733060305
72605f57-49e7-4940-93de-265e53418f5f,Regular,-41.32431233233755,174.82184959303476
351bbffe-ffa9-4b69-bcf7-bce36feb69e7,Regular,-41.324296628362134,174.82192178362527
cc8f093f-e91e-46b4-a49f-755db563476e,Regular,-41.324271726559594,174.82202307859572
5cd17d7c-6653-46d8-aa5f-08b0cd433fab,Regular,-41.32425349769019,174.8221075605109
072df6dd-7a4b-4ba3-904a-db3df5a04af4,Regular,-41.324230391270035,174.82220581433697
4beb5a05-078a-40b6-9acf-354843d829c5,Regular,-41.32421085136454,174.8222995327236
69731eb3-b405-4ec4-9a19-aa52bce9bc89,Regular,-41.32414495278614,174.82208406113907
6c192de5-2525-4f05-9245-c45a20bfe4d2,Regular,-41.32412938319545,174.82214775638334
f6316b02-a7dd-4b6e-b062-2f1917d892f4,Regular,-41.32411616624385,174.82220997223985
92346b08-f475-4ae6-b575-b2f66690dc52,Regular,-41.32409946918758,174.82227131683453
d289107d-e564-4b32-a4d1-146f3e0a65d9,Regular,-41.32408384966206,174.82233810162955
b7c126cb-e15f-4da0-803d-51d17ae25426,Regular,-41.3240776688995,174.82239742247276
f1466555-df0e-4572-afe2-f44670b5b1e8,Regular,-41.32406268074244,174.82246113378116
ae45b878-8828-41a6-ba0a-ad6098be6747,Regular,-41.32403577498531,174.82257859694607
8708d8c0-ad6c-4b94-a436-79d45098f384,Regular,-41.32402269236694,174.8226323175336
d5518956-74b0-4b8d-b661-0d7b391c99ee,Regular,-41.323994353185334,174.82276673826192
2aad3d9d-8af4-4c9a-848f-dd96a5f95420,Regular,-41.32397631952707,174.8228388633343
1b5f1091-7129-41ea-af99-e76647ce831e,Regular,-41.32396065164861,174.8229087363492
f36cbffe-f2a2-4582-9ae4-ac34fa41b0a8,Regular,-41.324106562435325,174.82277952402927
5f4dc5cd-bb8a-486c-be42-2195721a4039,Regular,-41.3240877636368,174.8228632177669
9e840ba6-e677-4e37-b63e-5cb82fc1ccbd,Regular,-41.32389561109832,174.82359495470192
7dcf6e3b-24b8-448a-b43d-5fd580b4aeb1,Regular,-41.32390709205638,174.82371580567377
3a2be87b-64d2-41fc-948f-4ed9d63d6052,Regular,-41.3239348127835,174.82384097372798
b530787f-5031-4a30-9728-3c084cf939e8,Regular,-41.323977376578306,174.82398509849645
3daac5c9-bf5b-4538-8523-a44fd7a1d0bc,Regular,-41.32403081169637,174.82414150252166
446edd63-1651-4f37-a7e4-774da7b60be4,Regular,-41.32407295879768,174.82431188565195
